Bathrooms (bin),Bedrooms (bin),Condition,Date,Id,Price (bin),View,Waterfront,Yr Built,Zipcode,Bathrooms,Bedrooms,Floors,Grade,Lat,Long,Price,Sqft Living,Sqft Lot
1.6,2,Average,6/6/2014,8682220150,815K,No View,No,2002,98053,2,2,1,8,47.7103,-122.027,835000,2280,6815
1.6,2,Average,5/7/2014,8682230400,425K,No View,No,2003,98053,2,2,1,8,47.7094,-122.03,428000,1350,3900
1.6,2,Average,6/9/2014,8682231110,567K,No View,No,2003,98053,2,2,1,8,47.7108,-122.031,579000,1870,6275
1.6,2,Average,9/16/2014,8682230550,425K,No View,No,2003,98053,2,2,1,8,47.7106,-122.03,428000,1350,4225
1.6,2,Average,10/21/2014,8682231190,531K,No View,No,2003,98053,2,2,1,8,47.7104,-122.031,542000,1930,4500
1.6,2,Average,3/17/2015,8682230950,531K,No View,No,2003,98053,2,2,1,8,47.7094,-122.031,559000,1660,4500
1.6,2,Average,4/29/2015,8682231170,531K,No View,No,2003,98053,2,2,1,8,47.7107,-122.031,554000,1920,6045
1.6,2,Average,6/18/2014,8682261140,531K,No View,No,2004,98053,2,2,1,8,47.7133,-122.031,564000,1690,4500
1.6,2,Average,7/10/2014,8682261650,531K,No View,No,2004,98053,2,2,1,8,47.7141,-122.031,554000,1670,4996
1.6,2,Average,8/5/2014,8682231210,531K,No View,No,2004,98053,2,2,1,8,47.7101,-122.031,554000,1870,5580
1.6,2,Average,9/5/2014,8682262380,354K,No View,No,2004,98053,2,2,1,8,47.7175,-122.033,381000,1340,4447
1.6,2,Average,3/10/2015,8682262720,460K,No View,No,2004,98053,2,2,1,8,47.7174,-122.032,495000,1580,5203
1.6,2,Average,3/19/2015,8682262190,460K,No View,No,2004,98053,2,2,1,8,47.718,-122.034,480000,1350,4220
1.6,2,Average,4/27/2015,8682261070,567K,No View,No,2004,98053,2,2,1,8,47.7136,-122.03,575000,1680,6194
1.6,2,Average,5/4/2015,8682231330,496K,No View,No,2004,98053,2,2,1,8,47.7111,-122.032,519000,1560,4823
1.6,2,Average,8/1/2014,8682280490,425K,No View,No,2005,98053,2,2,1,8,47.704,-122.012,431500,1370,4866
1.6,2,Average,9/12/2014,8682260870,319K,No View,No,2005,98053,2,2,1,8,47.7132,-122.033,344000,1300,4659
1.6,2,Average,10/14/2014,8682281220,425K,No View,No,2005,98053,2,2,1,8,47.7078,-122.013,439888,1300,6515
1.6,2,Average,2/4/2015,8682280970,531K,No View,No,2005,98053,2,2,1,8,47.7054,-122.011,548050,1930,5479
1.6,2,Average,3/9/2015,8682281200,460K,No View,No,2005,98053,2,2,1,8,47.7076,-122.013,479950,1510,6516
1.6,2,Average,4/30/2015,8682260610,567K,No View,No,2005,98053,2,2,1,8,47.7142,-122.033,572000,1870,5143
1.6,2,Average,5/8/2014,8682291720,531K,No View,No,2006,98053,2,2,1,8,47.7195,-122.022,559950,1870,4950
1.6,2,Average,5/13/2014,8682291730,496K,No View,No,2006,98053,2,2,1,8,47.7194,-122.022,530000,1680,4950
1.6,2,Average,7/8/2014,8682281600,567K,No View,No,2006,98053,2,2,1,8,47.709,-122.017,592350,1570,4665
1.6,2,Average,7/25/2014,8682281480,567K,No View,No,2006,98053,2,2,1,8,47.7082,-122.015,592500,1870,4751
1.6,2,Average,9/15/2014,8682292020,425K,No View,No,2006,98053,2,2,1,8,47.7196,-122.024,450000,1510,4908
1.6,2,Average,9/23/2014,8682282180,496K,No View,No,2006,98053,2,2,1,8,47.7086,-122.019,509000,1560,4675
1.6,2,Average,9/24/2014,8682291970,390K,No View,No,2006,98053,2,2,1,8,47.7193,-122.024,398000,1300,3865
1.6,2,Average,10/7/2014,8682291630,531K,No View,No,2006,98053,2,2,1,8,47.7191,-122.022,559000,1930,5520
1.6,2,Average,1/26/2015,8682291510,354K,No View,No,2006,98053,2,2,1,8,47.7199,-122.022,389000,1200,7131
1.6,2,Average,3/26/2015,8682280260,390K,No View,No,2006,98053,2,2,1,8,47.703,-122.015,412250,1300,2983
1.6,2,Average,3/30/2015,8682290360,425K,No View,No,2006,98053,2,2,1,8,47.7217,-122.03,457000,1440,9985
1.6,2,Average,3/31/2015,8682291840,390K,No View,No,2006,98053,2,2,1,8,47.72,-122.024,408000,1200,3900
1.6,2,Average,7/22/2014,8682301910,354K,No View,No,2007,98053,2,2,1,8,47.7182,-122.022,389000,1340,4122
1.6,2,Average,7/25/2014,8682292180,390K,No View,No,2007,98053,2,2,1,8,47.7192,-122.024,410000,1350,3926
1.6,2,Average,9/14/2014,8682310430,531K,No View,No,2008,98053,2,2,1,8,47.7088,-122.015,560000,1680,4647
1.6,2,Average,9/16/2014,8682320320,460K,No View,No,2010,98053,2,2,1,8,47.709,-122.018,485000,1510,3961
1.6,2,Average,2/20/2015,8682320160,425K,No View,No,2010,98053,2,2,1,8,47.709,-122.019,439950,1440,4666
1.6,2,Average,5/11/2015,8682310310,567K,No View,No,2010,98053,2,2,1,8,47.7101,-122.014,589000,1850,4667
1.6,2,Average,8/11/2014,2397101460,850K,No View,No,1904,98119,2,2,1,8,47.6369,-122.365,885000,1313,3600
1.6,2,Average,11/25/2014,2026049097,425K,No View,No,1957,98125,2,2,1,8,47.7262,-122.316,431750,1400,10052
1.6,2,Average,8/26/2014,7744500020,425K,No View,No,1959,98155,2,2,1,8,47.7499,-122.29,431000,1390,12530
1.6,2,Average,6/30/2014,3348401490,248K,No View,No,1952,98178,2,2,1,8,47.4989,-122.265,265000,1860,10856
1.6,2,Average,12/26/2014,3530400080,248K,No View,No,1974,98198,2,2,1,8,47.3804,-122.32,255000,1360,5433
1.6,2,Average,3/3/2015,7010700580,567K,No View,No,1949,98199,2,2,1,8,47.6589,-122.397,585000,1370,7920
1.6,2,Average,7/9/2014,8682292090,708K,No View,No,2007,98053,2.25,2,1,8,47.7199,-122.025,737000,2290,9772
1.6,2,Average,8/21/2014,8931100095,744K,No View,No,1950,98115,2.25,2,1,8,47.6792,-122.275,779000,2130,5920
1.6,2,Average,4/29/2015,9141100255,425K,No View,No,1953,98133,2.25,2,1,8,47.739,-122.351,438000,1950,29347
2.4,2,Average,4/27/2015,3324079092,354K,No View,No,2004,98027,2.5,2,1,8,47.5157,-121.924,361000,1320,48787
2.4,2,Average,5/27/2014,8682210650,708K,No View,No,2002,98053,2.5,2,1,8,47.7017,-122.023,715000,2160,5581
2.4,2,Average,6/2/2014,8682230610,779K,No View,No,2003,98053,2.5,2,1,8,47.7114,-122.03,802000,2210,6327
2.4,2,Average,4/26/2015,8682230590,779K,No View,No,2003,98053,2.5,2,1,8,47.7114,-122.029,800000,2395,6143
2.4,2,Average,8/7/2014,8682281070,744K,No View,No,2005,98053,2.5,2,1,8,47.7065,-122.013,752500,2280,6230
2.4,2,Average,1/28/2015,8682281510,638K,No View,No,2006,98053,2.5,2,1,8,47.7087,-122.015,665000,2300,6984
2.4,2,Average,11/26/2014,8682290660,673K,No View,No,2007,98053,2.5,2,1,8,47.7243,-122.032,699950,2390,7489
2.4,2,Average,12/2/2014,8682301050,673K,No View,No,2007,98053,2.5,2,1,8,47.7196,-122.02,705000,2300,6400
2.4,2,Average,4/6/2015,8682290670,744K,No View,No,2007,98053,2.5,2,1,8,47.7242,-122.032,745000,2170,7546
2.4,2,Average,4/17/2015,8682290410,673K,No View,No,2007,98053,2.5,2,1,8,47.7226,-122.03,694000,2320,9311
2.4,2,Average,8/28/2014,8682300640,708K,No View,No,2008,98053,2.5,2,1,8,47.7161,-122.014,740000,2170,8678
2.4,2,Average,7/9/2014,8682320350,708K,No View,No,2010,98053,2.5,2,1,8,47.7094,-122.018,741500,2150,5760
2.4,2,Average,8/28/2014,8682300890,673K,No View,No,2010,98053,2.5,2,1,8,47.717,-122.02,699800,2380,6600
2.4,2,Average,8/27/2014,8682310220,744K,No View,No,2012,98053,2.5,2,1,8,47.7115,-122.014,765000,2170,6750
2.4,2,Average,12/15/2014,1530900560,354K,No View,No,1988,98072,2.5,2,1,8,47.7335,-122.16,385000,1760,3710
2.4,2,Average,4/3/2015,8682291390,673K,No View,No,2007,98077,2.5,2,1,8,47.7203,-122.024,705000,2305,5580
2.4,2,Average,3/10/2015,9206950200,319K,No View,No,2004,98106,2.5,2,1,8,47.5364,-122.365,352000,1320,1957
2.4,2,Average,2/24/2015,3751604169,248K,No View,No,2003,98001,2.75,2,1,8,47.2773,-122.276,279000,1770,10534
2.4,2,Average,7/30/2014,3626079040,779K,No View,No,2004,98014,3,2,1,8,47.6955,-121.861,790000,2560,982278
2.4,2,Average,5/7/2015,2767600635,708K,No View,No,1952,98117,3,2,1,8,47.6758,-122.375,742500,2020,5000
1.6,2,Average,6/25/2014,3630120050,531K,No View,No,2005,98029,1.75,2,1,9,47.5539,-122.001,565000,1670,4008
1.6,2,Average,9/15/2014,7504001440,425K,No View,No,1976,98074,1.75,2,1,9,47.6276,-122.053,435000,1910,12142
1.6,2,Average,5/16/2014,6705800040,531K,No View,No,1990,98011,2,2,1,9,47.7718,-122.208,551000,2260,9604
1.6,2,Average,2/5/2015,3630120380,531K,No View,No,2007,98029,2,2,1,9,47.5545,-122.003,539950,1670,3507
1.6,2,Average,9/29/2014,3211230300,354K,No View,No,1985,98092,2,2,1,9,47.312,-122.115,381500,2160,35183
2.4,2,Average,5/6/2015,3924500130,425K,No View,No,1987,98024,2.5,2,1,9,47.5614,-121.899,460000,1880,40575
2.4,2,Average,10/17/2014,8682220230,779K,No View,No,2002,98053,2.5,2,1,9,47.7094,-122.024,779950,2680,7625
2.4,2,Average,5/4/2014,8682250090,744K,No View,No,2004,98053,2.5,2,1,9,47.717,-122.026,775000,2680,7392
2.4,2,Average,6/3/2014,8682281960,921K,No View,No,2006,98053,2.5,2,1,9,47.7078,-122.019,930000,2680,11214
2.4,2,Average,7/8/2014,8682291050,779K,No View,No,2007,98053,2.75,2,1,9,47.7236,-122.033,810000,2700,8572
2.4,2,Average,12/15/2014,8682292190,815K,No View,No,2012,98053,2.75,2,1,9,47.7187,-122.024,850000,2700,9854
3.2,2,Average,1/12/2015,2124079093,815K,No View,No,1998,98024,3.25,2,1,9,47.5448,-121.93,835000,3570,392475
1.6,2,Average,5/7/2014,518500700,602K,No View,No,2011,98056,2.25,2,1,10,47.5304,-122.202,630000,2550,5663
3.2,2,Average,9/22/2014,3425059076,779K,No View,No,1952,98005,3.25,2,1,10,47.611,-122.157,780000,3000,24004
0.0,3,Average,10/22/2014,6730700385,177K,No View,No,1942,98024,0.75,3,1,4,47.5661,-121.887,205000,770,7000
0.0,3,Average,12/11/2014,7889600685,177K,No View,No,1948,98146,0.75,3,1,5,47.4936,-122.335,205000,1080,5025
0.8,3,Average,7/18/2014,7116000350,106K,No View,No,1950,98002,1,3,1,5,47.3019,-122.216,128750,880,7004
0.8,3,Average,5/5/2014,1549500370,177K,No View,No,1953,98019,1,3,1,5,47.7534,-121.912,210000,1340,306848
0.8,3,Average,8/4/2014,2354300845,177K,No View,No,1900,98027,1,3,1,5,47.5281,-122.031,210000,1020,6000
0.8,3,Average,7/7/2014,424000145,213K,No View,No,1954,98056,1,3,1,5,47.4977,-122.175,230000,1390,6000
0.8,3,Average,12/16/2014,7851200040,248K,No View,No,1922,98065,1,3,1,5,47.5259,-121.815,265000,960,9748
0.8,3,Average,1/5/2015,179001101,106K,No View,No,1943,98178,1,3,1,5,47.494,-122.275,135000,840,3000
0.8,3,Average,9/30/2014,5379800500,248K,No View,No,1943,98188,1.5,3,1,5,47.4565,-122.276,255000,910,25500
1.6,3,Average,1/15/2015,5652601035,283K,No View,No,1927,98115,1.75,3,1,5,47.6973,-122.297,285000,1150,6423
1.6,3,Average,11/5/2014,985000900,177K,No View,No,1932,98168,1.75,3,1,5,47.4924,-122.311,198500,1520,7137
1.6,3,Average,10/24/2014,179001425,213K,No View,No,1931,98178,1.75,3,1,5,47.4928,-122.274,230000,1420,3000
1.6,3,Average,6/19/2014,3141600210,177K,No View,No,1912,98002,2,3,1,5,47.299,-122.228,186000,1340,4320
1.6,3,Average,10/17/2014,4331000130,283K,No View,No,1948,98166,2,3,1,5,47.4753,-122.342,315000,1770,9685
0.0,3,Average,3/18/2015,1424059130,213K,No View,No,1950,98006,0.75,3,1,6,47.567,-122.124,247500,1300,72309
0.0,3,Average,7/28/2014,114100763,213K,No View,No,1941,98028,0.75,3,1,6,47.7639,-122.234,230000,1040,15000
0.0,3,Average,2/20/2015,6303401050,106K,No View,No,1945,98146,0.75,3,1,6,47.503,-122.356,132500,850,8573
0.8,3,Average,10/10/2014,3356403140,213K,No View,No,1952,98001,1,3,1,6,47.2873,-122.251,225000,1080,16000
0.8,3,Average,9/5/2014,1450100390,106K,No View,No,1960,98002,1,3,1,6,47.2892,-122.22,125000,920,7314
0.8,3,Average,3/16/2015,1450100390,177K,No View,No,1960,98002,1,3,1,6,47.2892,-122.22,208000,920,7314
0.8,3,Average,1/6/2015,3392100140,213K,No View,No,1964,98003,1,3,1,6,47.3262,-122.334,215000,1280,9775
0.8,3,Average,6/25/2014,3392100050,177K,No View,No,1965,98003,1,3,1,6,47.3266,-122.334,205000,1230,8750
0.8,3,Average,12/2/2014,7941500170,213K,No View,No,1967,98003,1,3,1,6,47.3165,-122.325,219000,970,7790
0.8,3,Average,7/15/2014,7000100635,567K,No View,No,1945,98004,1,3,1,6,47.5828,-122.19,600000,940,19000
0.8,3,Average,10/24/2014,3298300140,354K,No View,No,1959,98008,1,3,1,6,47.6214,-122.12,355000,1210,6650
0.8,3,Average,11/10/2014,3298201170,319K,No View,No,1959,98008,1,3,1,6,47.6195,-122.118,350000,940,7811
0.8,3,Average,3/31/2015,3298300420,319K,No View,No,1959,98008,1,3,1,6,47.6228,-122.121,354000,990,7590
0.8,3,Average,5/9/2014,2545900050,213K,No View,No,1977,98010,1,3,1,6,47.3422,-122.053,234950,1360,9948
0.8,3,Average,3/25/2015,9567800140,283K,No View,No,1936,98011,1,3,1,6,47.7636,-122.202,310000,1240,7194
0.8,3,Average,7/21/2014,8658301535,213K,No View,No,1961,98014,1,3,1,6,47.6503,-121.911,240000,1090,10000
0.8,3,Average,5/21/2014,3426079024,142K,No View,No,1966,98014,1,3,1,6,47.6927,-121.901,150000,1010,25000
0.8,3,Average,4/28/2015,7211340030,283K,No View,No,1979,98014,1,3,1,6,47.6453,-121.912,300000,1010,10168
0.8,3,Average,3/17/2015,8656300385,283K,No View,No,1986,98014,1,3,1,6,47.656,-121.913,305000,1710,19115
0.8,3,Average,6/28/2014,2130702270,213K,No View,No,1983,98019,1,3,1,6,47.7425,-121.981,234000,1040,8128
0.8,3,Average,6/24/2014,1320069255,177K,No View,No,1991,98022,1,3,1,6,47.2151,-121.993,199000,1000,8512
0.8,3,Average,3/16/2015,5153200651,213K,No View,No,1952,98023,1,3,1,6,47.3261,-122.353,223000,1220,71191
0.8,3,Average,7/28/2014,1788800770,177K,No View,No,1959,98023,1,3,1,6,47.3281,-122.344,187500,840,8400
0.8,3,Average,7/30/2014,1788800080,177K,No View,No,1959,98023,1,3,1,6,47.329,-122.343,184900,1040,10080
0.8,3,Average,9/2/2014,1788800610,71K,No View,No,1959,98023,1,3,1,6,47.3277,-122.343,105000,840,8400
0.8,3,Average,10/29/2014,1788800630,71K,No View,No,1959,98023,1,3,1,6,47.3281,-122.343,96500,840,12091
0.8,3,Average,2/25/2015,1788800630,177K,No View,No,1959,98023,1,3,1,6,47.3281,-122.343,185000,840,12091
0.8,3,Average,7/22/2014,1788900230,71K,No View,No,1960,98023,1,3,1,6,47.3277,-122.341,86500,840,9480
0.8,3,Average,4/3/2015,1788900230,177K,No View,No,1960,98023,1,3,1,6,47.3277,-122.341,199950,840,9480
0.8,3,Average,6/19/2014,5560000640,213K,No View,No,1961,98023,1,3,1,6,47.3278,-122.337,232500,1320,8450
0.8,3,Average,7/7/2014,5560000070,177K,No View,No,1961,98023,1,3,1,6,47.329,-122.338,199990,1100,8560
0.8,3,Average,8/11/2014,7956200220,142K,No View,No,1962,98023,1,3,1,6,47.2869,-122.36,169500,1060,10023
0.8,3,Average,3/26/2015,8945000910,177K,No View,No,1962,98023,1,3,1,6,47.3072,-122.363,184000,1100,8680
0.8,3,Average,3/25/2015,8945200830,177K,No View,No,1966,98023,1,3,1,6,47.3066,-122.371,210490,990,8528
0.8,3,Average,4/30/2015,8945200750,213K,No View,No,1966,98023,1,3,1,6,47.3074,-122.371,222000,990,8840
0.8,3,Average,8/13/2014,100600320,213K,No View,No,1968,98023,1,3,1,6,47.3018,-122.369,213950,1430,7000
0.8,3,Average,12/31/2014,9320900610,142K,No View,No,1969,98023,1,3,1,6,47.3038,-122.362,146000,900,4770
0.8,3,Average,10/30/2014,943100262,248K,No View,No,1947,98024,1,3,1,6,47.5687,-121.898,260000,1190,11120
0.8,3,Average,7/18/2014,4027701275,213K,No View,No,1948,98028,1,3,1,6,47.7681,-122.266,230000,1240,6195
0.8,3,Average,8/21/2014,114101540,390K,No View,No,1949,98028,1,3,1,6,47.7552,-122.229,415000,2020,19210
0.8,3,Average,1/21/2015,2621600015,106K,No View,No,1943,98030,1,3,1,6,47.3865,-122.217,120000,1150,8924
0.8,3,Average,4/30/2015,2621600015,142K,No View,No,1943,98030,1,3,1,6,47.3865,-122.217,175000,1150,8924
0.8,3,Average,9/8/2014,3830210220,177K,No View,No,1977,98030,1,3,1,6,47.3746,-122.183,210000,1200,7200
0.8,3,Average,3/19/2015,3830210230,213K,No View,No,1977,98030,1,3,1,6,47.3746,-122.183,225205,1200,7220
0.8,3,Average,1/29/2015,3900100265,602K,No View,No,1919,98033,1,3,1,6,47.6795,-122.202,625000,1020,7650
0.8,3,Average,3/6/2015,4151800265,531K,No View,No,1942,98033,1,3,1,6,47.6648,-122.204,550000,1010,6120
0.8,3,Average,4/29/2015,3885805300,567K,No View,No,1958,98033,1,3,1,6,47.6829,-122.195,595000,1300,11520
0.8,3,Average,4/8/2015,3584800010,531K,No View,No,1961,98033,1,3,1,6,47.6855,-122.199,550000,880,6664
0.8,3,Average,5/7/2014,3888100043,319K,No View,No,1981,98033,1,3,1,6,47.6874,-122.168,350000,1010,9360
0.8,3,Average,4/2/2015,2126059048,283K,No View,No,1931,98034,1,3,1,6,47.7254,-122.175,294000,1250,9427
0.8,3,Average,5/6/2015,2426049079,319K,No View,No,1943,98034,1,3,1,6,47.7281,-122.235,330000,1060,20040
0.8,3,Average,11/7/2014,1395500020,248K,No View,No,1962,98034,1,3,1,6,47.719,-122.202,279900,1400,10800
0.8,3,Average,11/10/2014,3323069045,213K,No View,No,1921,98038,1,3,1,6,47.4303,-122.046,234000,1240,239144
0.8,3,Average,5/22/2014,8651430560,177K,No View,No,1969,98042,1,3,1,6,47.369,-122.077,180000,870,5330
0.8,3,Average,1/16/2015,8651431100,177K,No View,No,1969,98042,1,3,1,6,47.3685,-122.077,199990,840,5200
0.8,3,Average,4/25/2015,8651430370,142K,No View,No,1969,98042,1,3,1,6,47.3701,-122.079,150000,1240,5200
0.8,3,Average,3/18/2015,1865810290,213K,No View,No,1970,98042,1,3,1,6,47.3743,-122.116,232000,840,6540
0.8,3,Average,8/28/2014,6600410480,177K,No View,No,1977,98042,1,3,1,6,47.3238,-122.14,179900,1010,9920
0.8,3,Average,8/27/2014,8807810890,248K,No View,No,1970,98053,1,3,1,6,47.6625,-122.059,259875,1250,21303
0.8,3,Average,11/5/2014,8807810890,354K,No View,No,1970,98053,1,3,1,6,47.6625,-122.059,385000,1250,21303
0.8,3,Average,4/14/2015,88000591,177K,No View,No,1962,98055,1,3,1,6,47.4562,-122.193,212000,1000,9450
0.8,3,Average,11/6/2014,6197200021,142K,No View,No,1946,98058,1,3,1,6,47.4411,-122.186,144000,980,6800
0.8,3,Average,6/5/2014,1432400065,177K,No View,No,1958,98058,1,3,1,6,47.4497,-122.176,189000,1010,7560
0.8,3,Average,4/1/2015,1432400490,142K,No View,No,1958,98058,1,3,1,6,47.4514,-122.178,145600,1170,7560
0.8,3,Average,4/21/2015,1432400345,142K,No View,No,1958,98058,1,3,1,6,47.4522,-122.178,144000,1250,8314
0.8,3,Average,9/10/2014,1432701430,213K,No View,No,1959,98058,1,3,1,6,47.4516,-122.175,242500,940,7380
0.8,3,Average,11/5/2014,1432600560,142K,No View,No,1959,98058,1,3,1,6,47.4616,-122.184,166950,1190,8820
0.8,3,Average,4/7/2015,1432701380,248K,No View,No,1959,98058,1,3,1,6,47.4493,-122.173,263000,1250,7560
0.8,3,Average,4/22/2015,1088400190,283K,No View,No,1961,98059,1,3,1,6,47.4794,-122.078,305000,1120,10125
0.8,3,Average,7/24/2014,7849201600,283K,No View,No,1958,98065,1,3,1,6,47.5297,-121.827,286700,1220,6600
0.8,3,Average,9/22/2014,4239400920,142K,No View,No,1969,98092,1,3,1,6,47.3162,-122.183,149000,1090,2800
0.8,3,Average,3/16/2015,3126049261,248K,No View,No,1947,98103,1,3,1,6,47.699,-122.35,259250,940,5904
0.8,3,Average,10/10/2014,4310700020,248K,No View,No,1948,98103,1,3,1,6,47.7011,-122.336,280000,1100,5132
0.8,3,Average,5/7/2014,2985800030,460K,No View,No,1943,98105,1,3,1,6,47.6718,-122.267,495000,990,6000
0.8,3,Average,8/27/2014,3438501700,283K,No View,No,1927,98106,1,3,1,6,47.5435,-122.359,300000,1300,20812
0.8,3,Average,12/15/2014,3438501081,283K,No View,No,1928,98106,1,3,1,6,47.5476,-122.36,315000,970,6828
0.8,3,Average,5/19/2014,3438500625,177K,No View,No,1942,98106,1,3,1,6,47.5515,-122.357,210000,1080,21043
0.8,3,Average,7/9/2014,3298700426,213K,No View,No,1943,98106,1,3,1,6,47.522,-122.354,226550,990,4440
0.8,3,Average,9/22/2014,9352900695,142K,No View,No,1944,98106,1,3,1,6,47.5175,-122.36,170000,1480,5670
0.8,3,Average,1/6/2015,7831800505,177K,No View,No,1947,98106,1,3,1,6,47.5352,-122.361,200000,1230,4380
0.8,3,Average,12/19/2014,7387500335,248K,No View,No,1948,98106,1,3,1,6,47.5206,-122.363,280000,980,7480
0.8,3,Average,2/4/2015,9352901085,248K,No View,No,1948,98106,1,3,1,6,47.5186,-122.358,256000,1290,4720
0.8,3,Average,9/5/2014,3298700941,248K,No View,No,1950,98106,1,3,1,6,47.519,-122.352,260000,1200,4592
0.8,3,Average,4/22/2015,3438501860,354K,No View,No,1950,98106,1,3,1,6,47.5436,-122.357,385000,1020,5950
0.8,3,Average,5/19/2014,7972604345,106K,No View,No,1954,98106,1,3,1,6,47.5178,-122.346,137000,950,7620
0.8,3,Average,2/27/2015,9485700136,319K,No View,No,1959,98106,1,3,1,6,47.527,-122.362,330000,1140,7316
0.8,3,Average,3/17/2015,2767601815,354K,No View,No,1916,98107,1,3,1,6,47.6744,-122.383,356000,940,2366
0.8,3,Average,1/23/2015,9828701747,567K,No View,No,1950,98112,1,3,1,6,47.6212,-122.298,600000,970,4800
0.8,3,Average,5/14/2014,1566100595,283K,No View,No,1946,98115,1,3,1,6,47.7,-122.299,300000,1260,8280
0.8,3,Average,9/24/2014,1566100400,354K,No View,No,1946,98115,1,3,1,6,47.6982,-122.298,387500,1220,8329
0.8,3,Average,4/6/2015,2997800090,567K,No View,No,1905,98116,1,3,1,6,47.5767,-122.408,575000,1220,5652
0.8,3,Average,4/20/2015,9277200180,390K,No View,No,1925,98116,1,3,1,6,47.5769,-122.397,410000,1410,5000
0.8,3,Average,11/19/2014,2313900740,390K,No View,No,1940,98116,1,3,1,6,47.5726,-122.382,425000,1180,3750
0.8,3,Average,6/20/2014,3300701170,390K,No View,No,1925,98117,1,3,1,6,47.6921,-122.38,395000,1500,4000
0.8,3,Average,10/16/2014,1862400285,354K,No View,No,1937,98117,1,3,1,6,47.6969,-122.368,375000,1200,5404
0.8,3,Average,7/16/2014,2124700015,319K,No View,No,1905,98118,1,3,1,6,47.5235,-122.277,345000,1120,10176
0.8,3,Average,7/22/2014,1231001110,354K,No View,No,1910,98118,1,3,1,6,47.5539,-122.268,380000,920,3532
0.8,3,Average,2/23/2015,3330501645,248K,No View,No,1910,98118,1,3,1,6,47.5506,-122.276,260000,1150,3090
0.8,3,Average,3/18/2015,4356200210,142K,No View,No,1910,98118,1,3,1,6,47.5153,-122.266,153500,890,4810
0.8,3,Average,2/24/2015,3332000091,319K,No View,No,1929,98118,1,3,1,6,47.5513,-122.272,320000,1190,4120
0.8,3,Average,7/14/2014,8113100150,177K,No View,No,1948,98118,1,3,1,6,47.548,-122.284,210000,920,6612
0.8,3,Average,4/16/2015,2742100016,248K,No View,No,1949,98118,1,3,1,6,47.5551,-122.292,260000,940,5650
0.8,3,Average,3/19/2015,1601600195,283K,No View,No,1955,98118,1,3,1,6,47.5293,-122.274,299000,1510,6200
0.8,3,Average,8/22/2014,4006000251,213K,No View,No,1968,98118,1,3,1,6,47.5282,-122.279,226000,970,5000
0.8,3,Average,9/19/2014,3331500650,354K,No View,No,1970,98118,1,3,1,6,47.5524,-122.27,356000,920,3863
0.8,3,Average,5/30/2014,2254502445,354K,No View,No,1901,98122,1,3,1,6,47.6101,-122.307,385000,1220,4800
0.8,3,Average,8/8/2014,9826701765,708K,No View,No,1956,98122,1,3,1,6,47.6038,-122.303,715000,1610,7680
0.8,3,Average,5/16/2014,6381500635,319K,No View,No,1944,98125,1,3,1,6,47.731,-122.303,342000,1260,6826
0.8,3,Average,2/20/2015,814000020,425K,No View,No,1944,98125,1,3,1,6,47.7132,-122.283,460000,1130,7000
0.8,3,Average,4/14/2015,1566100010,460K,No View,No,1948,98125,1,3,1,6,47.7009,-122.301,470000,1460,8227
0.8,3,Average,6/2/2014,1133000671,283K,No View,No,1952,98125,1,3,1,6,47.7264,-122.31,315000,960,6634
0.8,3,Average,7/14/2014,6855700080,283K,No View,No,1952,98125,1,3,1,6,47.7277,-122.308,294950,1240,8840
0.8,3,Average,1/14/2015,9455200596,354K,No View,No,1952,98125,1,3,1,6,47.7027,-122.289,357500,1450,8100
0.8,3,Average,8/7/2014,2489200165,425K,No View,No,1920,98126,1,3,1,6,47.5402,-122.38,435000,1050,5500
0.8,3,Average,12/16/2014,4364700600,213K,No View,No,1925,98126,1,3,1,6,47.5249,-122.37,216000,1010,7920
0.8,3,Average,3/30/2015,4364700600,390K,No View,No,1925,98126,1,3,1,6,47.5249,-122.37,390000,1010,7920
0.8,3,Average,5/4/2015,3624039074,425K,No View,No,1941,98126,1,3,1,6,47.531,-122.373,430000,1210,5200
0.8,3,Average,10/15/2014,8122600165,248K,No View,No,1945,98126,1,3,1,6,47.5365,-122.368,273000,1500,6250
0.8,3,Average,10/2/2014,5347200165,248K,No View,No,1947,98126,1,3,1,6,47.5187,-122.377,265000,1070,4800
0.8,3,Average,4/27/2015,5347200070,319K,No View,No,1947,98126,1,3,1,6,47.5194,-122.376,339000,1150,2496
0.8,3,Average,10/3/2014,4364700990,319K,No View,No,1948,98126,1,3,1,6,47.5255,-122.376,335000,1030,7200
0.8,3,Average,12/4/2014,7452500340,248K,No View,No,1950,98126,1,3,1,6,47.5209,-122.374,265000,1080,4930
0.8,3,Average,7/24/2014,6145602125,283K,No View,No,1942,98133,1,3,1,6,47.7027,-122.355,295000,830,3386
0.8,3,Average,7/14/2014,6300500505,354K,No View,No,1943,98133,1,3,1,6,47.7041,-122.34,359950,1400,4980
0.8,3,Average,10/21/2014,3293700221,248K,No View,No,1947,98133,1,3,1,6,47.7476,-122.35,280000,1260,7660
0.8,3,Average,4/21/2015,390100060,319K,No View,No,1951,98133,1,3,1,6,47.7565,-122.339,325000,1040,7541
0.8,3,Average,1/28/2015,5253300387,213K,No View,No,1952,98133,1,3,1,6,47.7508,-122.339,215000,860,6635
0.8,3,Average,10/7/2014,1074100020,283K,No View,No,1953,98133,1,3,1,6,47.7699,-122.335,299000,1520,8320
